Replacement,Original
I,i
I'm,i'm
I've,i've
I'll,i'll
I'd,i'd
Monday,monday
Mondays,mondays
Tuesday,tuesday
Tuesdays,tuesdays
Wednesday,wednesday
Wednesdays,wednesdays
Thursday,thursday
Thursdays,thursdays
Friday,friday
Fridays,fridays
Saturday,saturday
Saturdays,saturdays
Sunday,sunday
Sundays,sundays
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
Arq,arc
core,corps
core,kor
Dr.,doctor
dual,duel
for,four
Gary,garry
Gary,gary
hi,high
ID,id
inpatient,impatient
iPad,ipad
iPhone,iphone
Kaelber's,calibers
Kaelber,caliber
Mac,mac
Mary,mary
Medicaid,medicaid
Nicholas,nicholas
Nicholas,nickolas
Nicholas,nicolas
none,nun
OK,ok
OK,okay
OmniFocus,omnifocus
Riley,rightly
Riley,riley
Shirley,surely
site,sight
sites,sights
Talon,ta
Talon,talent
the,thee
UniFi,unified
UniFi,unify
where,ware
where,wear
